dictLookup,index,termID,termLabel,dictText,itemNum,matchType,matchSlugs,personLookup,placeLookup
Abda 2,10,a-p16.4,Abda,"A Levite of the family of Jeduthun ([Neh. 11:17](/neh#Neh.11.17)), also called Obadiah ([1 Chr. 9:16](/1chr#1Chr.9.16)).",2.0,unmatched,unmatched,,
Abdeel,11,a-p18.3,Abdeel,"Servant of God, ([Jer. 36:26](/jer#Jer.36.26)), the father of Shelemiah.",0.0,person,abdeel_5,abdeel_5,
Abdi,12,a-p19.2,Abdi,"
My servant. ",0.0,unmatched,unmatched,,
Abdi 1,13,a-p19.2,Abdi,[1 Chr. 6:44](/1chr#1Chr.6.44).,1.0,person,abdi_6,abdi_6,
Abdi 2,14,a-p19.2,Abdi,[2 Chr. 29:12](/2chr#2Chr.29.12).,2.0,person,abdi_7,abdi_7,
Abdi 3,15,a-p19.2,Abdi,[Ezra 10:26](/ezra#Ezra.10.26).,3.0,person,abdi_8,abdi_8,
Abdiel,16,a-p20.4,Abdiel,"Servant of God, ([1 Chr. 5:15](/1chr#1Chr.5.15)), a Gadite chief.",0.0,person,abdiel_9,abdiel_9,
Abdon,17,a-p21.2,Abdon,"
Servile. ",0.0,unmatched,unmatched,,
Abdon 1,18,a-p21.2,Abdon,"The son of Hillel, a Pirathonite, the tenth judge of Israel ([Judg. 12:13-15](/judg#Judg.12.13)). He is probably the Bedan of [1 Sam. 12:11](/1sam#1Sam.12.11).",1.0,person,abdon_10,abdon_10,
Abdon 2,19,a-p21.2,Abdon,The first-born of Gibeon of the tribe of Benjamin ([1 Chr. 8:30](/1chr#1Chr.8.30); [9:36](/1chr#1Chr.9.36)).,2.0,person,abdon_12,abdon_12,
Abdon 3,20,a-p21.2,Abdon,"The son of Micah, one of those whom Josiah sent to the prophetess Huldah to ascertain from her the meaning of the recently discovered book of the law ([2 Chr. 34:20](/2chr#2Chr.34.20)). He is called Achbor in [2 Kings 22:12](/2kgs#2Kgs.22.12).",3.0,unmatched,unmatched,achbor_63,
Abdon 4,21,a-p21.2,Abdon,"One of the “sons” of Shashak ([1 Chr. 8:23](/1chr#1Chr.8.23)).

 This is the name also of a Levitical town of the Gershonites, in the tribe of Asher ([Josh. 21:30](/josh#Josh.21.30); [1 Chr. 6:74](/1chr#1Chr.6.74)). The ruins of Abdeh, some 8 miles north-east of Accho, probably mark its site.",4.0,multi,"['abdon_3', 'abdon_11']",abdon_11,abdon_3
Abednego,22,a-p26.3,Abednego,"Servant of Nego=Nebo, the Chaldee name given to Azariah, one of Daniel’s three companions ([Dan. 2:49](/dan#Dan.2.49)). With Shadrach and Meshach, he was delivered from the burning fiery furnace (3:12-30).",0.0,unmatched,unmatched,,
Abel,23,a-p27.2,Abel,"(Heb. Hebhel), a breath, or vanity, the second son of Adam and Eve. He was put to death by his brother Cain ([Gen. 4:1-16](/gen#Gen.4.1)). Guided by the instruction of their father, the two brothers were trained in the duty of worshipping God. “And in process of time” (marg. “at the end of days”, i.e., on the Sabbath) each of them offered up to God of the first-fruits of his labours. Cain, as a husbandman, offered the fruits of the field; Abel, as a shepherd, of the firstlings of his flock. “The Lord had respect unto Abel and his offering; but unto Cain and his offering he had not respect” ([Gen. 4:3-5](/gen#Gen.4.3)). On this account Cain was angry with his brother, and formed the design of putting him to death; a design which he at length found an opportunity of carrying into effect ([Gen. 4:8](/gen#Gen.4.8), [9](/gen#Gen.4.9). Comp. [1 John 3:12](/1john#1John.3.12)). There are several references to Abel in the New Testament. Our Saviour speaks of him as “righteous” ([Matt. 23:35](/matt#Matt.23.35)). “The blood of sprinkling” is said to speak “better things than that of Abel” ([Heb. 12:24](/heb#Heb.12.24)); i.e., the blood of Jesus is the reality of which the blood of the offering made by Abel was only the type. The comparison here is between the sacrifice offered by Christ and that offered by Abel, and not between the blood of Christ calling for mercy and the blood of the murdered Abel calling for vengeance, as has sometimes been supposed. It is also said ([Heb. 11:4](/heb#Heb.11.4)) that “Abel offered unto God a more excellent sacrifice than Cain.” This sacrifice was made “by faith;” this faith rested in God, not only as the Creator and the God of providence, but especially in God as the great Redeemer, whose sacrifice was typified by the sacrifices which, no doubt by the divine institution, were offered from the days of Adam downward. On account of that “faith” which looked forward to the great atoning sacrifice, Abel’s offering was accepted of God. Cain’s offering had no such reference, and therefore was rejected. Abel was the first martyr, as he was the first of our race to die.

 Abel (Heb. ‘abhel), lamentation ([1 Sam. 6:18](/1sam#1Sam.6.18)), the name given to the great stone in Joshua’s field whereon the ark was “set down.” The Revised Version, however, following the Targum and the LXX., reads in the Hebrew text ’ebhen (= a stone), and accordingly translates “unto the great stone, whereon they set down the ark.” This reading is to be preferred.

 Abel (Heb. ‘abhel), a grassy place, a meadow. This word enters into the composition of the following words:",0.0,person,abel_13,abel_13,abel_4
Abel-beth-maachah,24,a-p30.1,Abel-beth-maachah,"Meadow of the house of Maachah, a city in the north of Palestine, in the neighbourhood of Dan and Ijon, in the tribe of Naphtali. It was a place of considerable strength and importance. It is called a “mother in Israel”, i.e., a metropolis ([2 Sam. 20:19](/2sam#2Sam.20.19)). It was besieged by Joab ([2 Sam. 20:14](/2sam#2Sam.20.14)), by Benhadad ([1 Kings 15:20](/1kgs#1Kgs.15.20)), and by Tiglath-pileser ([2 Kings 15:29](/2kgs#2Kgs.15.29)) about B.C. 734. It is elsewhere called Abel-maim, meadow of the waters, ([2 Chr. 16:4](/2chr#2Chr.16.4)). Its site is occupied by the modern Abil or Abil-el-kamh, on a rising ground to the east of the brook Derdarah, which flows through the plain of Huleh into the Jordan, about 6 miles to the west-north-west of Dan.",0.0,unmatched,unmatched,,"abel-beth-maacah_5,beth-maacah_221"
Abel-cheramim,25,a-p31.6,Abel-cheramim,"([Judg. 11:33](/judg#Judg.11.33), R.V.; A. V., “plain of the vineyards”), a village of the Ammonites, whither Jephthah pursued their forces.",0.0,unmatched,unmatched,,
Abel-meholah,26,a-p32.2,Abel-meholah,"Meadow of dancing, or the dancing-meadow, the birth-place and residence of the prophet Elisha, not far from Beth-shean ([1 Kings 4:12](/1kgs#1Kgs.4.12)), in the tribe of Issachar, near where the Wady el-Maleh emerges into the valley of the Jordan, “the rich meadow-land which extends about 4 miles south of Beth-shean; moist and luxuriant.” Here Elisha was found at his plough by Elijah on his return up the Jordan valley from Horeb ([1 Kings 19:16](/1kgs#1Kgs.19.16)). It is now called ‘Ain Helweh.",0.0,place,abel-meholah_8,,abel-meholah_8
Abel-mizraim,27,a-p33.3,Abel-mizraim,"Meadow of Egypt, or mourning of Egypt, a place “beyond,” i.e., on the west of Jordan, at the “threshing-floor of Atad.” Here the Egyptians mourned seventy days for Jacob ([Gen. 50:4-11](/gen#Gen.50.4)). Its site is unknown.",0.0,place,abel-mizraim_9,,abel-mizraim_9
Abel-shittim,28,a-p34.2,Abel-shittim,"Meadow of the acacias, frequently called simply “Shittim” ([Num. 25:1](/num#Num.25.1); [Josh. 2:1](/josh#Josh.2.1); [Micah 6:5](/mic#Mic.6.5)), a place on the east of Jordan, in the plain of Moab, nearly opposite Jericho. It was the forty-second encampment of the Israelites, their last resting-place before they crossed the Jordan ([Num. 33:49](/num#Num.33.49); [22:1](/num#Num.22.1); [26:3](/num#Num.26.3); [31:12](/num#Num.31.12); comp. 25:1; 31:16).",0.0,place,abel-shittim_10,,abel-shittim_10
Abez,29,a-p35.8,Abez,"Tin, or white, a town in the tribe of Issachar ([Josh. 19:20](/josh#Josh.19.20)), at the north of the plain of Esdraelon. It is probably identified with the ruins of el-Beida.",0.0,place,ebez_351,,ebez_351
Abia,30,a-p36.2,Abia,"My father is the Lord, the Greek form of Abijah, or Abijam ([Matt. 1:7](/matt#Matt.1.7)), instead of Abiah ([1 Chr. 7:8](/1chr#1Chr.7.8)). In [Luke 1:5](/luke#Luke.1.5), the name refers to the head of the eighth of the twenty-four courses into which David divided the priests ([1 Chr. 24:10](/1chr#1Chr.24.10)).",0.0,multi,"['abijah_38', 'abijah_36', 'abiah_17']",,
Abi-albon,31,a-p37.5,Abi-albon,"Father of strength; i.e., “valiant”, one of David’s body-guard of thirty mighty men ([2 Sam. 23:31](/2sam#2Sam.23.31)); called also Abiel ([1 Chr. 11:32](/1chr#1Chr.11.32)).",0.0,unmatched,unmatched,,
Abiasaph,32,a-p38.3,Abiasaph,"Father of gathering; the gatherer, the youngest of the three sons of Korah the Levite, head of a family of Korhites ([Ex. 6:24](/exod#Exod.6.24)); called Ebisaph ([1 Chr. 6:37](/1chr#1Chr.6.37)).",0.0,person,ebiasaph_19,ebiasaph_19,
Abiathar,33,a-p39.3,Abiathar,"Father of abundance, or my father excels, the son of Ahimelech the high priest. He was the tenth high priest, and the fourth in descent from Eli. When his father was slain with the priests of Nob, he escaped, and bearing with him the ephod, he joined David, who was then in the cave of Adullam ([1 Sam. 22:20-23](/1sam#1Sam.22.20); [23:6](/1sam#1Sam.23.6)). He remained with David, and became priest of the party of which he was the leader ([1 Sam. 30:7](/1sam#1Sam.30.7)). When David ascended the throne of Judah, Abiathar was appointed high priest ([1 Chr. 15:11](/1chr#1Chr.15.11); [1 Kings 2:26](/1kgs#1Kgs.2.26)) and the “king’s companion” ([1 Chr. 27:34](/1chr#1Chr.27.34)). Meanwhile Zadok, of the house of Eleazar, had been made high priest. These appointments continued in force till the end of David’s reign ([1 Kings 4:4](/1kgs#1Kgs.4.4)). Abiathar was deposed (the sole historical instance of the deposition of a high priest) and banished to his home at Anathoth by Solomon, because he took part in the attempt to raise Adonijah to the throne. The priesthood thus passed from the house of Ithamar ([1 Sam. 2:30-36](/1sam#1Sam.2.30); [1 Kings 1:19](/1kgs#1Kgs.1.19); [2:26](/1kgs#1Kgs.2.26), [27](/1kgs#1Kgs.2.27)). Zadok now became sole high priest. In [Mark 2:26](/mark#Mark.2.26), reference is made to an occurrence in “the days of Abiathar the high priest.” But from [1 Sam. 22](/1sam#1Sam.22), we learn explicitly that this event took place when Ahimelech, the father of Abiathar, was high priest. The apparent discrepancy is satisfactorily explained by interpreting the words in Mark as referring to the life-time of Abiathar, and not to the term of his holding the office of high priest. It is not implied in Mark that he was actual high priest at the time referred to. Others, however, think that the loaves belonged to Abiathar, who was at that time ([Lev. 24:9](/lev#Lev.24.9)) a priest, and that he either himself gave them to David, or persuaded his father to give them.",0.0,person,abiathar_20,abiathar_20,
Abib,34,a-p40.15,Abib,"An ear of corn, the month of newly-ripened grain ([Ex. 13:4](/exod#Exod.13.4); [23:15](/exod#Exod.23.15)); the first of the Jewish ecclesiastical year, and the seventh of the civil year. It began about the time of the vernal equinox, on 21st March. It was called Nisan, after the Captivity ([Neh. 2:1](/neh#Neh.2.1)). On the fifteenth day of the month, harvest was begun by gathering a sheaf of barley, which was offered unto the Lord on the sixteenth ([Lev. 23:4-11](/lev#Lev.23.4)).",0.0,unmatched,unmatched,,
Abida,35,a-p41.5,Abida,"Or Abi’dah, father of knowledge; knowing, one of the five sons of Midian, who was the son of Abraham by Keturah ([1 Chr. 1:33](/1chr#1Chr.1.33)), and apparently the chief of an Arab tribe.",0.0,person,abida_21,abida_21,
Abidan,36,a-p42.2,Abidan,"Father of judgment; judge, head of the tribe of Benjamin at the Exodus ([Num. 1:11](/num#Num.1.11); [2:22](/num#Num.2.22)).",0.0,person,abidan_22,abidan_22,
Abieezer,37,a-p43.3,Abieezer,"
Father of help; i.e., “helpful.” ",0.0,unmatched,unmatched,,
Abieezer 1,38,a-p43.3,Abieezer,"The second of the three sons of Hammoleketh, the sister of Gilead. He was the grandson of Manasseh ([1 Chr. 7:18](/1chr#1Chr.7.18)). From his family Gideon sprang ([Josh. 17:2](/josh#Josh.17.2); comp. [Judg. 6:34](/judg#Judg.6.34); [8:2](/judg#Judg.8.2)). He was also called Jeezer ([Num. 26:30](/num#Num.26.30)).",1.0,multi,"['abiezer_11', 'abiezer_763', 'abiezer_25']",abiezer_763,
Abieezer 2,39,a-p43.3,Abieezer,One of David’s thirty warriors ([2 Sam. 23:27](/2sam#2Sam.23.27); comp. [1 Chr. 27:12](/1chr#1Chr.27.12)).,2.0,person,abiezer_24,abiezer_24,
Abieezer 3,40,a-p43.3,Abieezer,The prince of the tribe of Dan at the Exodus ([Num. 1:12](/num#Num.1.12)).,3.0,unmatched,unmatched,,
Abiel,41,a-p46.2,Abiel,"
Father (i.e., “possessor”) of God = “pious.” ",0.0,unmatched,unmatched,,
Abiel 1,42,a-p46.2,Abiel,"The son of Zeror and father of Ner, who was the grandfather of Saul ([1 Sam. 14:51](/1sam#1Sam.14.51); [1 Chr. 8:33](/1chr#1Chr.8.33); [9:39](/1chr#1Chr.9.39)). In [1 Sam. 9:1](/1sam#1Sam.9.1), he is called the “father,” probably meaning the grandfather, of Kish.",1.0,person,abiel_23,abiel_23,
Abiel 2,43,a-p46.2,Abiel,"An Arbathite, one of David’s warriors ([1 Chr. 11:32](/1chr#1Chr.11.32)); called also Abi-albon ([2 Sam. 23:31](/2sam#2Sam.23.31)).",2.0,person,abiel_18,abiel_18,
Abiezrite,44,a-p47.7,Abiezrite,"Father of help, a descendant of Abiezer ([Judg. 6:11](/judg#Judg.6.11), [24](/judg#Judg.6.24); 8:32).",0.0,unmatched,unmatched,,
Abigail,45,a-p48.3,Abigail,"
Father (i.e., “leader”) of the dance, or “of joy.” ",0.0,unmatched,unmatched,,
Abigail 1,46,a-p48.3,Abigail,"The sister of David, and wife of Jether an Ishmaelite ([1 Chr. 2:16](/1chr#1Chr.2.16), [17](/1chr#1Chr.2.17)). She was the mother of Amasa ([2 Sam. 17:25](/2sam#2Sam.17.25)).",1.0,person,abigail_27,abigail_27,
Abigail 2,47,a-p48.3,Abigail,"The wife of the churlish Nabal, who dwelt in the district of Carmel ([1 Sam. 25:3](/1sam#1Sam.25.3)). She showed great prudence and delicate management at a critical period of her husband’s life. She was “a woman of good understanding, and of a beautiful countenance.” After Nabal’s death she became the wife of David ([1 Sam. 25:14-42](/1sam#1Sam.25.14)), and was his companion in all his future fortunes ([1 Sam. 27:3](/1sam#1Sam.27.3); [30:5](/1sam#1Sam.30.5); [2 Sam. 2:2](/2sam#2Sam.2.2)). By her David had a son called Chileab ([2 Sam. 3:3](/2sam#2Sam.3.3)), elsewhere called Daniel ([1 Chr. 3:1](/1chr#1Chr.3.1)).",2.0,person,abigail_26,abigail_26,
Abihail,48,a-p50.8,Abihail,"
Father of might. ",0.0,unmatched,unmatched,,
Abihail 1,49,a-p50.8,Abihail,[Num. 3:35](/num#Num.3.35).,1.0,unmatched,unmatched,,
Abihail 2,50,a-p50.8,Abihail,[1 Chr. 2:29](/1chr#1Chr.2.29).,2.0,person,abihail_29,abihail_29,
Abihail 3,51,a-p50.8,Abihail,[1 Chr. 5:14](/1chr#1Chr.5.14).,3.0,person,abihail_30,abihail_30,
Abihail 4,52,a-p50.8,Abihail,"The second wife of King Rehoboam ([2 Chr. 11:18](/2chr#2Chr.11.18)), a descendant of Eliab, David’s eldest brother.",4.0,person,abihail_31,abihail_31,
Abihail 5,53,a-p50.8,Abihail,The father of Esther and uncle of Mordecai ([Esther 2:15](/esth#Esth.2.15)).,5.0,person,abihail_32,abihail_32,
Abihu,54,a-p53.2,Abihu,"Father of Him; i.e., “worshipper of God”, the second of the sons of Aaron ([Ex. 6:23](/exod#Exod.6.23); [Num. 3:2](/num#Num.3.2); [26:60](/num#Num.26.60); [1 Chr. 6:3](/1chr#1Chr.6.3)). Along with his three brothers he was consecrated to the priest’s office ([Ex. 28:1](/exod#Exod.28.1)). With his father and elder brother he accompanied the seventy elders part of the way up the mount with Moses ([Ex. 24:1](/exod#Exod.24.1), [9](/exod#Exod.24.9)). On one occasion he and Nadab his brother offered incense in their censers filled with “strange” (i.e., common) fire, i.e., not with fire taken from the great brazen altar ([Lev. 6:9](/lev#Lev.6.9), etc.), and for this offence they were struck dead, and were taken out and buried without the camp ([Lev. 10:1-11](/lev#Lev.10.1); comp. [Num. 3:4](/num#Num.3.4); [26:61](/num#Num.26.61); [1 Chr. 24:2](/1chr#1Chr.24.2)). It is probable that when they committed this offence they were intoxicated, for immediately after is given the law prohibiting the use of wine or strong drink to the priests.",0.0,person,abihu_33,abihu_33,
Abihud,55,a-p54.13,Abihud,"
Father (i.e., “possessor”) of renown. ",0.0,unmatched,unmatched,,
Abihud 1,56,a-p54.13,Abihud,"One of the sons of Bela, the son of Benjamin ([1 Chr. 8:3](/1chr#1Chr.8.3)); called also Ahihud (ver. 7).",1.0,person,abihud_34,abihud_34,
Abihud 2,57,a-p54.13,Abihud,"A descendant of Zerubbabel and father of Eliakim ([Matt. 1:13](/matt#Matt.1.13), “Abiud”); called also Juda ([Luke 3:26](/luke#Luke.3.26)), and Obadiah ([1 Chr. 3:21](/1chr#1Chr.3.21)).",2.0,unmatched,unmatched,abiud_56,
Abijah,58,a-p56.4,Abijah,"
Father (i.e., “possessor or worshipper”) of Jehovah. ",0.0,unmatched,unmatched,,
Abijah 1,59,a-p56.4,Abijah,[1 Chr. 7:8](/1chr#1Chr.7.8).,1.0,unmatched,unmatched,,
Abijah 2,60,a-p56.4,Abijah,[1 Chr. 2:24](/1chr#1Chr.2.24).,2.0,unmatched,unmatched,abiah_16,
Abijah 3,61,a-p56.4,Abijah,"The second son of Samuel ([1 Sam. 8:2](/1sam#1Sam.8.2); [1 Chr. 6:28](/1chr#1Chr.6.28)). His conduct, along with that of his brother, as a judge in Beer-sheba, to which office his father had appointed him, led to popular discontent, and ultimately provoked the people to demand a royal form of government.",3.0,unmatched,unmatched,abiah_15,
Abijah 4,62,a-p56.4,Abijah,"A descendant of Eleazar, the son of Aaron, a chief of one of the twenty-four orders into which the priesthood was divided by David ([1 Chr. 24:10](/1chr#1Chr.24.10)). The order of Abijah was one of those which did not return from the Captivity ([Ezra 2:36-39](/ezra#Ezra.2.36); [Neh. 7:39-42](/neh#Neh.7.39); [12:1](/neh#Neh.12.1)).",4.0,person,abijah_36,abijah_36,
Abijah 5,63,a-p56.4,Abijah,"The son of Rehoboam, whom he succeeded on the throne of Judah ([1 Chr. 3:10](/1chr#1Chr.3.10)). He is also called Abijam ([1 Kings 14:31](/1kgs#1Kgs.14.31); [15:1-8](/1kgs#1Kgs.15.1)). He began his three years’ reign ([2 Chr. 12:16](/2chr#2Chr.12.16); [13:1](/2chr#2Chr.13.1), [2](/2chr#2Chr.13.2)) with a strenuous but unsuccessful effort to bring back the ten tribes to their allegiance. His address to “Jeroboam and all Israel,” before encountering them in battle, is worthy of being specially noticed ([2 Chr. 13:5-12](/2chr#2Chr.13.5)). It was a very bloody battle, no fewer than 500,000 of the army of Israel having perished on the field. He is described as having walked “in all the sins of his father” ([1 Kings 15:3](/1kgs#1Kgs.15.3); [2 Chr. 11:20-22](/2chr#2Chr.11.20)). It is said in [1 Kings 15:2](/1kgs#1Kgs.15.2) that “his mother’s name was Maachah, the daughter of Abishalom;” but in [2 Chr. 13:2](/2chr#2Chr.13.2) we read, “his mother’s name was Michaiah, the daughter of Uriel of Gibeah.” The explanation is that Maachah is just a variation of the name Michaiah, and that Abishalom is probably the same as Absalom, the son of David. It is probable that “Uriel of Gibeah” married Tamar, the daughter of Absalom ([2 Sam. 14:27](/2sam#2Sam.14.27)), and by her had Maachah. The word “daughter” in [1 Kings 15:2](/1kgs#1Kgs.15.2) will thus, as it frequently elsewhere does, mean grand-daughter.",5.0,person,abijah_38,abijah_38,
