personLookup,status,personID,displayTitle,name,surname,alsoCalled,isProperName,ambiguous,Disambiguation (temp),gender,occupations,birthYear,minYear,deathYear,maxYear,birthPlace,deathPlace,memberOf,eastons,dictText,events,eventGroups,verseCount,verses,mother,father,partners,children,siblings,halfSiblingsSameMother,halfSiblingsSameFather,chaptersWritten,alphaGroup,slug,modified
abdon_12,wip,12,Abdon,Abdon,,,checked,checked,Abdon (A judge of Israel for eight years (Judg 12:13–15). The son of Hillel the Pirathonite and the father of 40 sons. Abdon is described as riding on 70 donkeys—an expression meant to indicate his wealth.),Male,,,-1200,,-1200,,,,Abdon 2,The first-born of Gibeon of the tribe of Benjamin ([1 Chr. 8:30](/1chr#1Chr.8.30); [9:36](/1chr#1Chr.9.36)).,,,2,"1Chr.8.30,1Chr.9.36",maachah_1844,abiel_23,,,"ahio_156,baal_575,gedor_1292,kish_1784,mikloth_2078,nadab_2131,ner_2181,zacher_2972,zur_3111",,,,A,abdon_12,2019-07-27 11:49
abel_13,publish,13,Abel,Abel,,,checked,,,Male,,-3938,-4003,-3880,64,eden_354,eden_354,,Abel,"(Heb. Hebhel), a breath, or vanity, the second son of Adam and Eve. He was put to death by his brother Cain ([Gen. 4:1-16](/gen#Gen.4.1)). Guided by the instruction of their father, the two brothers were trained in the duty of worshipping God. “And in process of time” (marg. “at the end of days”, i.e., on the Sabbath) each of them offered up to God of the first-fruits of his labours. Cain, as a husbandman, offered the fruits of the field; Abel, as a shepherd, of the firstlings of his flock. “The Lord had respect unto Abel and his offering; but unto Cain and his offering he had not respect” ([Gen. 4:3-5](/gen#Gen.4.3)). On this account Cain was angry with his brother, and formed the design of putting him to death; a design which he at length found an opportunity of carrying into effect ([Gen. 4:8](/gen#Gen.4.8), [9](/gen#Gen.4.9). Comp. [1 John 3:12](/1john#1John.3.12)). There are several references to Abel in the New Testament. Our Saviour speaks of him as “righteous” ([Matt. 23:35](/matt#Matt.23.35)). “The blood of sprinkling” is said to speak “better things than that of Abel” ([Heb. 12:24](/heb#Heb.12.24)); i.e., the blood of Jesus is the reality of which the blood of the offering made by Abel was only the type. The comparison here is between the sacrifice offered by Christ and that offered by Abel, and not between the blood of Christ calling for mercy and the blood of the murdered Abel calling for vengeance, as has sometimes been supposed. It is also said ([Heb. 11:4](/heb#Heb.11.4)) that “Abel offered unto God a more excellent sacrifice than Cain.” This sacrifice was made “by faith;” this faith rested in God, not only as the Creator and the God of providence, but especially in God as the great Redeemer, whose sacrifice was typified by the sacrifices which, no doubt by the divine institution, were offered from the days of Adam downward. On account of that “faith” which looked forward to the great atoning sacrifice, Abel’s offering was accepted of God. Cain’s offering had no such reference, and therefore was rejected. Abel was the first martyr, as he was the first of our race to die.

 Abel (Heb. ‘abhel), lamentation ([1 Sam. 6:18](/1sam#1Sam.6.18)), the name given to the great stone in Joshua’s field whereon the ark was “set down.” The Revised Version, however, following the Targum and the LXX., reads in the Hebrew text ’ebhen (= a stone), and accordingly translates “unto the great stone, whereon they set down the ark.” This reading is to be preferred.

 Abel (Heb. ‘abhel), a grassy place, a meadow. This word enters into the composition of the following words:",Cain kills Abel,,9,"Gen.4.2,Gen.4.4,Gen.4.8,Gen.4.9,Gen.4.25,Matt.23.35,Luke.11.51,Heb.11.4,Heb.12.24",eve_1231,adam_78,,,"cain_533,seth_2504",,,,A,abel_13,2023-12-02 23:09
abiah_15,wip,15,Abiah,Abiah,,,checked,checked,the Lord is my father,Male,,,-1112,,-1100,,,Tribe of Levi,Abijah 3,"The second son of Samuel ([1 Sam. 8:2](/1sam#1Sam.8.2); [1 Chr. 6:28](/1chr#1Chr.6.28)). His conduct, along with that of his brother, as a judge in Beer-sheba, to which office his father had appointed him, led to popular discontent, and ultimately provoked the people to demand a royal form of government.",,,2,"1Sam.8.2,1Chr.6.28",,samuel_2469,,,joel_1647,,,,A,abiah_15,2019-07-27 11:49
abiah_16,wip,16,Abiah,Abiah,,,checked,checked,"The Lord is my father, no listing of physical father, Abiah may be male or female.",Female,,,-1470,,-1470,,,,Abijah 2,[1 Chr. 2:24](/1chr#1Chr.2.24).,,,1,1Chr.2.24,,,hezron_1520,ashur_342,,,,,A,abiah_16,2019-07-27 11:49
abiah_17,wip,17,Abiah,Abiah,,,checked,checked,Abiah (Wife of Hezron),Male,,,0,,0,,,Tribe of Benjamin,Abijah 8,"One of the sons of Becher, the son of Benjamin ([1 Chr. 7:8](/1chr#1Chr.7.8)). “Abiah,” A.V.",,,1,1Chr.7.8,,becher_423,,,"alameth_184,anathoth_262,jerimoth_865,eliezer_1115,elioenai_1137,joash_1635,omri_2244,zemira_3037",,,,A,abiah_17,2019-07-27 11:49
abiathar_20,wip,20,Abiathar,Abiathar,,,checked,,,Male,,,-1062,,31,,,,Abiathar,"Father of abundance, or my father excels, the son of Ahimelech the high priest. He was the tenth high priest, and the fourth in descent from Eli. When his father was slain with the priests of Nob, he escaped, and bearing with him the ephod, he joined David, who was then in the cave of Adullam ([1 Sam. 22:20-23](/1sam#1Sam.22.20); [23:6](/1sam#1Sam.23.6)). He remained with David, and became priest of the party of which he was the leader ([1 Sam. 30:7](/1sam#1Sam.30.7)). When David ascended the throne of Judah, Abiathar was appointed high priest ([1 Chr. 15:11](/1chr#1Chr.15.11); [1 Kings 2:26](/1kgs#1Kgs.2.26)) and the “king’s companion” ([1 Chr. 27:34](/1chr#1Chr.27.34)). Meanwhile Zadok, of the house of Eleazar, had been made high priest. These appointments continued in force till the end of David’s reign ([1 Kings 4:4](/1kgs#1Kgs.4.4)). Abiathar was deposed (the sole historical instance of the deposition of a high priest) and banished to his home at Anathoth by Solomon, because he took part in the attempt to raise Adonijah to the throne. The priesthood thus passed from the house of Ithamar ([1 Sam. 2:30-36](/1sam#1Sam.2.30); [1 Kings 1:19](/1kgs#1Kgs.1.19); [2:26](/1kgs#1Kgs.2.26), [27](/1kgs#1Kgs.2.27)). Zadok now became sole high priest. In [Mark 2:26](/mark#Mark.2.26), reference is made to an occurrence in “the days of Abiathar the high priest.” But from [1 Sam. 22](/1sam#1Sam.22), we learn explicitly that this event took place when Ahimelech, the father of Abiathar, was high priest. The apparent discrepancy is satisfactorily explained by interpreting the words in Mark as referring to the life-time of Abiathar, and not to the term of his holding the office of high priest. It is not implied in Mark that he was actual high priest at the time referred to. Others, however, think that the loaves belonged to Abiathar, who was at that time ([Lev. 24:9](/lev#Lev.24.9)) a priest, and that he either himself gave them to David, or persuaded his father to give them.",,,29,"1Sam.22.20,1Sam.22.21,1Sam.22.22,1Sam.23.6,1Sam.23.9,1Sam.30.7,2Sam.8.17,2Sam.15.24,2Sam.15.27,2Sam.15.29,2Sam.15.35,2Sam.15.36,2Sam.17.15,2Sam.19.11,2Sam.20.25,1Kgs.1.7,1Kgs.1.19,1Kgs.1.25,1Kgs.1.42,1Kgs.2.22,1Kgs.2.26,1Kgs.2.27,1Kgs.2.35,1Kgs.4.4,1Chr.15.11,1Chr.18.16,1Chr.24.6,1Chr.27.34,Mark.2.26",,ahimelech_126,,"jonathan_1693,ahimelech_149",,,,,A,abiathar_20,2019-07-27 11:49
abida_21,wip,21,Abida,Abida,,,checked,,,Male,,,-1853,,-1804,,,,Abida,"Or Abi’dah, father of knowledge; knowing, one of the five sons of Midian, who was the son of Abraham by Keturah ([1 Chr. 1:33](/1chr#1Chr.1.33)), and apparently the chief of an Arab tribe.",,,2,"Gen.25.4,1Chr.1.33",,midian_2075,,,"eldaah_1057,ephah_1197,epher_1201,henoch_1402",,,,A,abida_21,2019-07-27 11:49
abidan_22,wip,22,Abidan,Abidan,,,checked,,,Male,,,-1490,,-1490,,,,Abidan,"Father of judgment; judge, head of the tribe of Benjamin at the Exodus ([Num. 1:11](/num#Num.1.11); [2:22](/num#Num.2.22)).",,,5,"Num.1.11,Num.2.22,Num.7.60,Num.7.65,Num.10.24",,gideoni_1315,,,,,,,A,abidan_22,2019-07-27 11:49
abiel_18,wip,18,Abiel (Arbathite),Abiel,,,checked,,Abiel (of David’s Mighty Men),Male,,,-1055,,-1055,,,,Abiel 2,"An Arbathite, one of David’s warriors ([1 Chr. 11:32](/1chr#1Chr.11.32)); called also Abi-albon ([2 Sam. 23:31](/2sam#2Sam.23.31)).",,,1,1Chr.11.32,,,,,,,,,A,abiel_18,2019-07-09 02:18
abiel_23,wip,23,Abiel,Abiel,,"Ner,Jehiel",checked,checked,Abiel (Kish),Male,,,-1200,,-1087,,,,Abiel 1,"The son of Zeror and father of Ner, who was the grandfather of Saul ([1 Sam. 14:51](/1sam#1Sam.14.51); [1 Chr. 8:33](/1chr#1Chr.8.33); [9:39](/1chr#1Chr.9.39)). In [1 Sam. 9:1](/1sam#1Sam.9.1), he is called the “father,” probably meaning the grandfather, of Kish.",,,5,"1Sam.9.1,1Sam.14.51,1Chr.8.33,1Chr.9.35,1Chr.9.39",,zeror_3052,maachah_1844,"ner_2181,mikloth_2078,gedor_1292,zacher_2972,kish_1784,ahio_156,baal_575,abdon_12,nadab_2131,zur_3111",,,,,A,abiel_23,2019-07-27 11:49
abiezer_24,wip,24,Abiezer,Abiezer,,,checked,checked,Abiezer (son of Ikkesh),Male,,,-1055,,-1015,,,,Abieezer 2,One of David’s thirty warriors ([2 Sam. 23:27](/2sam#2Sam.23.27); comp. [1 Chr. 27:12](/1chr#1Chr.27.12)).,,,3,"2Sam.23.27,1Chr.11.28,1Chr.27.12",,,,,,,,,A,abiezer_24,2019-07-27 11:49
abiezer_25,wip,25,Abiezer,Abiezer,,,checked,checked,Abiezer (brother to to Ishhod and Mahlah),Male,,,0,,0,,,,,,,,1,1Chr.7.18,hammoleketh_1364,,,,"ishod_638,mahalah_1884",,,,A,abiezer_25,2019-07-27 11:49
abiezer_763,wip,763,Abiezer,Abiezer,,Jeezer,checked,checked,Abiezer(son of Joseph),Male,,,-1452,,-1245,,,Tribe of Joseph,Abieezer 1,"The second of the three sons of Hammoleketh, the sister of Gilead. He was the grandson of Manasseh ([1 Chr. 7:18](/1chr#1Chr.7.18)). From his family Gideon sprang ([Josh. 17:2](/josh#Josh.17.2); comp. [Judg. 6:34](/judg#Judg.6.34); [8:2](/judg#Judg.8.2)). He was also called Jeezer ([Num. 26:30](/num#Num.26.30)).",,,4,"Num.26.30,Josh.17.2,Judg.6.34,Judg.8.2",,gilead_1317,,,"asriel_348,helek_1481,hepher_1496,shechem_2589,shemida_2650",,,,A,abiezer_763,2019-07-27 11:49
abigail_26,wip,26,Abigail,Abigail,,,checked,checked,Bible describes abigali as the name of a wife,Female,,,-1060,,-1048,,,,Abigail 2,"The wife of the churlish Nabal, who dwelt in the district of Carmel ([1 Sam. 25:3](/1sam#1Sam.25.3)). She showed great prudence and delicate management at a critical period of her husband’s life. She was “a woman of good understanding, and of a beautiful countenance.” After Nabal’s death she became the wife of David ([1 Sam. 25:14-42](/1sam#1Sam.25.14)), and was his companion in all his future fortunes ([1 Sam. 27:3](/1sam#1Sam.27.3); [30:5](/1sam#1Sam.30.5); [2 Sam. 2:2](/2sam#2Sam.2.2)). By her David had a son called Chileab ([2 Sam. 3:3](/2sam#2Sam.3.3)), elsewhere called Daniel ([1 Chr. 3:1](/1chr#1Chr.3.1)).",,,14,"1Sam.25.3,1Sam.25.14,1Sam.25.18,1Sam.25.23,1Sam.25.32,1Sam.25.36,1Sam.25.39,1Sam.25.40,1Sam.25.42,1Sam.27.3,1Sam.30.5,2Sam.2.2,2Sam.3.3,1Chr.3.1",,,"david_994,nabal_2126",daniel_939,,,,,A,abigail_26,2019-07-27 11:49
abigail_27,wip,27,Abigail,Abigail,,,checked,checked,Abigail (the father's joy),Female,,,-1752,,-1023,,,,Abigail 1,"The sister of David, and wife of Jether an Ishmaelite ([1 Chr. 2:16](/1chr#1Chr.2.16), [17](/1chr#1Chr.2.17)). She was the mother of Amasa ([2 Sam. 17:25](/2sam#2Sam.17.25)).",,,3,"2Sam.17.25,1Chr.2.16,1Chr.2.17",,nahash_2138,jether_907,amasa_207,zeruiah_3055,david_994,,,A,abigail_27,2019-07-27 11:49
abihail_28,wip,28,Abihail,Abihail,,,checked,checked,Abihail (father of Ahban and Molid),Male,,,-1490,,-1490,,,,,,,,1,Num.3.35,,,,zuriel_3112,,,,,A,abihail_28,2019-08-07 12:23
abihail_29,wip,29,Abihail,Abihail,,,checked,checked,Abihail ( Abishur’s wife),Female,,,-1470,,-1470,,,,Abihail 2,[1 Chr. 2:29](/1chr#1Chr.2.29).,,,1,1Chr.2.29,,,abishur_53,"molid_2105,ahban_122",,,,,A,abihail_29,2019-07-27 11:49
abihail_30,wip,30,Abihail,Abihail,,,checked,checked,abihali is the son of huri,Male,,,-1060,,-1060,,,,Abihail 3,[1 Chr. 5:14](/1chr#1Chr.5.14).,,,1,1Chr.5.14,,huri_1576,,"jachan_678,michael_2059,heber_1472,sheba_2571,meshullam_2022,jorai_1704,zia_3059",,,,,A,abihail_30,2019-08-07 12:18
abihail_31,wip,31,Abihail,Abihail,,,checked,checked,Abihail (Father of Esther),Female,,,-975,,-975,,,Tribe of Judah,Abihail 4,"The second wife of King Rehoboam ([2 Chr. 11:18](/2chr#2Chr.11.18)), a descendant of Eliab, David’s eldest brother.",,,1,2Chr.11.18,,eliab_1075,rehoboam_2412,"shamariah_2531,jeush_1603,zaham_2980",,,,,A,abihail_31,2019-07-27 11:49
abihail_32,wip,32,Abihail,Abihail,,,checked,checked,Abihail (Father of Esther),Male,,,-458,,-452,,,,Abihail 5,The father of Esther and uncle of Mordecai ([Esther 2:15](/esth#Esth.2.15)).,,,2,"Esth.2.15,Esth.9.29",,,,esther_1343,,,,,A,abihail_32,2019-08-07 12:21
