"StrongsID","lemma","xlit","pronounce","description","PartOfSpeech","Language"
"G1043","Γαβριήλ","Gabriḗl","gab-ree-ale'","of Hebrew origin (גַּבְרִיאֵל); Gabriel, an archangel:--Gabriel.","Noun Masculine","greek"
"G1044","γάγγραινα","gángraina","gang'-grahee-nah","from  (to gnaw); an ulcer (""gangrene""):--canker.","Noun Feminine","greek"
"G1045","Γάδ","Gád","gad","of Hebrew origin (גָּד); Gad, a tribe of Israelites:--Gad.","Noun Location","greek"
"G1046","Γαδαρηνός","Gadarēnós","gad-ar-ay-nos'","from  (a town east of the Jordan); a Gadarene or inhabitant of Gadara:--Gadarene.","Adjective","greek"
"G1047","γάζα","gáza","gad'-zah","of foreign origin; a treasure:--treasure.","Noun Feminine","greek"
"G1048","Γάζα","Gáza","gad'-zah","of Hebrew origin (עַזָּה); Gazah (i.e. Azzah), a place in Palestine:--Gaza.","Noun Location","greek"
"G1049","γαζοφυλάκιον","gazophylákion","gad-zof-oo-lak'-ee-on","from γάζα and φυλακή; a treasure-house, i.e. a court in the temple for the collection-boxes:--treasury.","Noun Neuter","greek"
"G105","ἀετός","aetós","ah-et-os'","from the same as ἀήρ; an eagle (from its wind-like flight):--eagle.","Noun Masculine","greek"
"G1050","Γάϊος","Gáïos","gah'-ee-os","of Latin origin; Gaius (i.e. Caius), a Christian:--Gaius.","Noun Masculine","greek"
"G1051","γάλα","gála","gal'-ah","of uncertain affinity; milk (figuratively):--milk.","Noun Neuter","greek"
"G1052","Γαλάτης","Galátēs","gal-at'-ace","from Γαλατία; a Galatian or inhabitant of Galatia:--Galatian.","Noun Masculine","greek"
"G1053","Γαλατία","Galatía","gal-at-ee'-ah","of foreign origin; Galatia, a region of Asia:--Galatia.","Noun Location","greek"
"G1054","Γαλατικός","Galatikós","gal-at-ee-kos'","from Γαλατία; Galatic or relating to Galatia:--of Galatia.","Adjective","greek"
"G1055","γαλήνη","galḗnē","gal-ay'-nay","of uncertain derivation; tranquillity:--calm.","Noun Feminine","greek"
"G1056","Γαλιλαία","Galilaía","gal-il-ah'-yah","of Hebrew origin (גָּלִיל); Galilæa (i.e. the heathen circle), a region of Palestine:--Galilee.","Noun Location","greek"
"G1057","Γαλιλαῖος","Galilaîos","gal-ee-lah'-yos","from Γαλιλαία; Galilean or belonging to Galilea:--Galilean, of Galilee.","Adjective","greek"
"G1058","Γαλλίων","Gallíōn","gal-lee'-own","of Latin origin; Gallion (i.e. Gallio), a Roman officer:--Gallio.","Noun Masculine","greek"
"G1059","Γαμαλιήλ","Gamaliḗl","gam-al-ee-ale'","of Hebrew origin (גַּמְלִיאֵל); Gamaliel (i.e. Gamliel), an Israelite:--Gamaliel.","Noun Masculine","greek"
"G106","ἄζυμος","ázymos","ad'-zoo-mos","from Α (as a negative particle) and ζύμη; unleavened, i.e. (figuratively) uncorrupted; (in the neutral plural) specially (by implication) the Passover week:--unleavened (bread).","Adjective","greek"
"G1060","γαμέω","gaméō","gam-eh'-o","from γάμος; to wed (of either sex):--marry (a wife).","Verb","greek"
"G1061","γαμίσκω","gamískō","gam-is'-ko","from γάμος; to espouse (a daughter to a husband):--give in marriage.","Verb","greek"
"G1062","γάμος","gámos","gam'-os","of uncertain affinity; nuptials:--marriage, wedding.","Noun Masculine","greek"
"G1063","γάρ","gár","gar","a primary particle; properly, assigning a reason (used in argument, explanation or intensification; often with other particles):--and, as, because (that), but, even, for, indeed, no doubt, seeing, then, therefore, verily, what, why, yet.","Conjunction","greek"
"G1064","γαστήρ","gastḗr","gas-tare'","of uncertain derivation; the stomach; by analogy, the matrix; figuratively, a gourmand:--belly, + with child, womb.","Noun Feminine","greek"
"G1065","γέ","gé","gheh","a primary particle of emphasis or qualification (often used with other particles prefixed):--and besides, doubtless, at least, yet.","","greek"
"G1066","Γεδεών","Gedeṓn","ghed-eh-own'","of Hebrew origin (גִּדְעוֹן); Gedeon (i.e. Gid(e)on), an Israelite:--Gedeon (in the King James Version).","Noun Masculine","greek"
"G1067","γέεννα","géenna","gheh'-en-nah","of Hebrew origin (גַּיְא and הִנֹּם); valley of (the son of) Hinnom; ge-henna (or Ge-Hinnom), a valley of Jerusalem, used (figuratively) as a name for the place (or state) of everlasting punishment:--hell.","Noun Feminine","greek"
"G1068","Γεθσημανῆ","Gethsēmanē","gheth-say-man-ay'","of Chaldee origin (compare גַּת and שֶׁמֶן); oil-press; Gethsemane, a garden near Jerusalem:--Gethsemane.","Noun Location","greek"
"G1069","γείτων","geítōn","ghi'-tone","from γῆ; a neighbour (as adjoining one's ground); by implication, a friend:--neighbour.","Noun","greek"
"G107","Ἀζώρ","Azṓr","ad-zore'","of Hebrew origin (compare עַזּוּר); Azor, an Israelite:--Azorigin","Noun Masculine","greek"
"G1070","γελάω","geláō","ghel-ah'-o","of uncertain affinity; to laugh (as a sign of joy or satisfaction):--laugh.","Verb","greek"
"G1071","γέλως","gélōs","ghel'-os","from γελάω; laughter (as a mark of gratification):--laughter.","Noun Masculine","greek"
"G1072","γεμίζω","gemízō","ghem-id'-zo","transitive from γέμω; to fill entirely:--fill (be) full.","Verb","greek"
"G1073","γέμω","gémō","ghem'-o","a primary verb; to swell out, i.e. be full:--be full.","Verb","greek"
"G1074","γενεά","geneá","ghen-eh-ah'","from (a presumed derivative of) γένος; a generation; by implication, an age (the period or the persons):--age, generation, nation, time.","Noun Feminine","greek"
"G1075","γενεαλογέω","genealogéō","ghen-eh-al-og-eh'-o","from γενεά and λόγος; to reckon by generations, i.e. trace in genealogy:--count by descent.","Verb","greek"
"G1076","γενεαλογία","genealogía","ghen-eh-al-og-ee'-ah","from the same as γενεαλογέω; tracing by generations, i.e. ""genealogy"":--genealogy.","Noun Feminine","greek"
"G1077","γενέσια","genésia","ghen-es'-ee-ah","neuter plural of a derivative of γένεσις; birthday ceremonies:--birthday.","Noun Neuter","greek"
"G1078","γένεσις","génesis","ghen'-es-is","from the same as γενεά; nativity; figuratively, nature:--generation, nature(-ral).","Noun Feminine","greek"
"G1079","γενετή","genetḗ","ghen-et-ay","feminine of a presumed derivative of the base of γενεά; birth:--birth.","Noun Feminine","greek"
"G108","Ἄζωτος","Ázōtos","ad'-zo-tos","of Hebrew origin (אַשְׁדּוֹד); Azotus (i.e. Ashdod), a place in Palestine:--Azotus.","Noun Location","greek"
"G1080","γεννάω","gennáō","ghen-nah'-o","from a variation of γένος; to procreate (properly, of the father, but by extension of the mother); figuratively, to regenerate:--bear, beget, be born, bring forth, conceive, be delivered of, gender, make, spring.","Verb","greek"
"G1081","γέννημα","génnēma","ghen'-nay-mah","from γεννάω; offspring; by analogy, produce (literally or figuratively):--fruit, generation.","Noun Neuter","greek"
"G1082","Γεννησαρέτ","Gennēsarét","ghen-nay-sar-et'","of Hebrew origin (compare כִּנְּרוֹת); Gennesaret (i.e. Kinnereth), a lake and plain in Palestine:--Gennesaret.","Noun Location","greek"
"G1083","γέννησις","génnēsis","ghen'-nay-sis","from γεννάω; nativity:--birth.","Adjective","greek"
"G1084","γεννητός","gennētós","ghen-nay-tos'","from γεννάω; born:--they that are born.","Adjective","greek"
"G1085","γένος","génos","ghen'-os","from γίνομαι; ""kin"" (abstract or concrete, literal or figurative, individual or collective):--born, country(-man), diversity, generation, kind(-red), nation, offspring, stock.","Noun Neuter","greek"
"G1086","Γεργεσηνός","Gergesēnós","gher-ghes-ay-nos'","of Hebrew origin (גִּרְגָּשִׁי); a Gergesene (i.e. Girgashite) or one of the aborigines of Palestine:--Gergesene.","Adjective","greek"
"G1087","γερουσία","gerousía","gher-oo-see'-ah","from γέρων; the eldership, i.e. (collectively) the Jewish Sanhedrin:--senate.","Noun Feminine","greek"
"G1088","γέρων","gérōn","gher'-own","of uncertain affinity (compare γῆρας); aged:--old.","Noun Masculine","greek"
"G1089","γεύομαι","geúomai","ghyoo'-om-ahee","a primary verb; to taste; by implication, to eat; figuratively, to experience (good or ill):--eat, taste.","Verb","greek"
"G109","ἀήρ","aḗr","ah-ayr'","from  (to breathe unconsciously, i.e. respire; by analogy, to blow); ""air"" (as naturally circumambient):--air. Compare ψύχω.","Noun Masculine","greek"
"G1090","γεωργέω","geōrgéō","gheh-or-gheh'-o","from γεωργός; to till (the soil):--dress.","Verb","greek"
"G1091","γεώργιον","geṓrgion","gheh-ore'-ghee-on","neuter of a (presumed) derivative of γεωργός; cultivable, i.e. a farm:--husbandry.","Noun Neuter","greek"
"G1092","γεωργός","geōrgós","gheh-ore-gos'","from γῆ and the base of ἔργον; a land-worker, i.e. farmer:--husbandman.","Noun Masculine","greek"
"G1093","γῆ","gē","ghay","contracted from a primary word; soil; by extension a region, or the solid part or the whole of the terrene globe (including the occupants in each application):--country, earth(-ly), ground, land, world.","Noun Feminine","greek"
"G1094","γῆρας","gēras","ghay'-ras","akin to γέρων; senility:--old age.","Noun Neuter","greek"
"G1095","γηράσκω","gēráskō","ghay-ras'-ko","from γῆρας; to be senescent:--be (wax) old.","Verb","greek"
"G1096","γίνομαι","gínomai","ghin'-om-ahee","a prolongation and middle voice form of a primary verb; to cause to be (""gen""-erate), i.e. (reflexively) to become (come into being), used with great latitude (literal, figurative, intensive, etc.):--arise, be assembled, be(-come, -fall, -have self), be brought (to pass), (be) come (to pass), continue, be divided, draw, be ended, fall, be finished, follow, be found, be fulfilled, + God forbid, grow, happen, have, be kept, be made, be married, be ordained to be, partake, pass, be performed, be published, require, seem, be showed, X soon as it was, sound, be taken, be turned, use, wax, will, would, be wrought.","Verb","greek"
"G1097","γινώσκω","ginṓskō","ghin-oce'-ko","a prolonged form of a primary verb; to ""know"" (absolutely) in a great variety of applications and with many implications (as follow, with others not thus clearly expressed):--allow, be aware (of), feel, (have) know(-ledge), perceived, be resolved, can speak, be sure, understand.","Verb","greek"
"G1098","γλεῦκος","gleûkos","glyoo'-kos","akin to γλυκύς; sweet wine, i.e. (properly) must (fresh juice), but used of the more saccharine (and therefore highly inebriating) fermented wine:--new wine.","Noun Neuter","greek"
"G1099","γλυκύς","glykýs","gloo-koos'","of uncertain affinity; sweet (i.e. not bitter nor salt):--sweet, fresh.","Adjective","greek"
"G11","Ἀβραάμ","Abraám","ab-rah-am'","of Hebrew origin (אַבְרָהָם); Abraham, the Hebrew patriarch:--Abraham. (In Acts 7:16 the text should probably read Jacob.)","Proper Name Masculine","greek"
"G110","ἀθανασία","athanasía","ath-an-as-ee'-ah","from a compound of Α (as a negative particle) and θάνατος; deathlessness:--immortality.","Noun Feminine","greek"
"G1100","γλῶσσα","glōssa","gloce-sah'","of uncertain affinity; the tongue; by implication, a language (specially, one naturally unacquired):--tongue.","Noun Feminine","greek"
"G1101","γλωσσόκομον","glōssókomon","gloce-sok'-om-on","from γλῶσσα and the base of κόσμος; properly, a case (to keep mouthpieces of wind-instruments in) i.e. (by extension) a casket or (specially) purse:--bag.","Noun Neuter","greek"
"G1102","γναφεύς","gnapheús","gnaf-yuce'","by variation for a derivative from  (to tease cloth); a cloth-dresser:--fuller.","Noun Masculine","greek"
"G1103","γνήσιος","gnḗsios","gnay'-see-os","from the same as γενέσια; legitimate (of birth), i.e. genuine:--own, sincerity, true.","Adjective","greek"
"G1104","γνησίως","gnēsíōs","gnay-see'-ose","adverb from γνήσιος; genuinely, i.e. really:--naturally.","Adverb","greek"
"G1105","γνόφος","gnóphos","gnof'-os","akin to νέφος; gloom (as of a storm):--blackness.","Noun Masculine","greek"
"G1106","γνώμη","gnṓmē","gno'-may","from γινώσκω; cognition, i.e. (subjectively) opinion, or (objectively) resolve (counsel, consent, etc.):--advice, + agree, judgment, mind, purpose, will.","","greek"
"G1107","γνωρίζω","gnōrízō","gno-rid'-zo","from a derivative of γινώσκω; to make known; subjectively, to know:--certify, declare, make known, give to understand, do to wit, wot.","Verb","greek"
"G1108","γνῶσις","gnōsis","gno'-sis","from γινώσκω; knowing (the act), i.e. (by implication) knowledge:--knowledge, science.","Noun Feminine","greek"
"G1109","γνώστης","gnṓstēs","gnoce'-tace","from γινώσκω; a knower:--expert.","Noun Masculine","greek"
"G111","ἀθέμιτος","athémitos","ath-em'-ee-tos","from Α (as a negative particle) and a derivative of  (statute; from the base of τίθημι); illegal; by implication, flagitious:--abominable, unlawful thing.","Adjective","greek"
"G1110","γνωστός","gnōstós","gnoce-tos'","from γινώσκω; well-known:--acquaintance, (which may be) known, notable.","Adjective","greek"
"G1111","γογγύζω","gongýzō","gong-good'-zo","of uncertain derivation; to grumble:--murmur.","Verb","greek"
"G1112","γογγυσμός","gongysmós","gong-goos-mos'","from γογγύζω; a grumbling:--grudging, murmuring.","Noun Masculine","greek"
"G1113","γογγυστής","gongystḗs","gong-goos-tace'","from γογγύζω; a grumbler:--murmurer.","Noun Masculine","greek"
"G1114","γόης","góēs","go'-ace","from  (to wail); properly, a wizard (as muttering spells), i.e. (by implication) an imposter:--seducer.","Noun Masculine","greek"
"G1115","Γολγοθᾶ","Golgothâ","gol-goth-ah'","of Chaldee origin (compare גֻּלְגֹּלֶת); the skull; Golgotha, a knoll near Jerusalem:--Golgotha.","Noun Location","greek"
"G1116","Γόμοῤῥα","Gómorrha","gom'-or-hrhah","of Hebrew origin (עֲמֹרָה); Gomorrha (i.e. Amorah), a place near the Dead Sea:--Gomorrha.","Noun Location","greek"
"G1117","γόμος","gómos","gom'-os","from γέμω; a load (as filling), i.e. (specially) a cargo, or (by extension) wares:--burden, merchandise.","Noun Masculine","greek"
"G1118","γονεύς","goneús","gon-yooce'","from the base of γίνομαι; a parent:--parent.","Noun Masculine","greek"
"G1119","γόνυ","góny","gon-oo'","of uncertain affinity; the ""knee"":--knee(X -l).","Noun Neuter","greek"
"G112","ἄθεος","átheos","ath'-eh-os","from Α (as a negative particle) and θεός; godless:--without God.","Adjective","greek"
"G1120","γονυπετέω","gonypetéō","gon-oo-pet-eh'-o","from a compound of γόνυ and the alternate of πίπτω; to fall on the knee:--bow the knee, kneel down.","Verb","greek"
"G1121","γράμμα","grámma","gram'-mah","from γράφω; a writing, i.e. a letter, note, epistle, book, etc.; plural learning:--bill, learning, letter, scripture, writing, written.","Noun Neuter","greek"
"G1122","γραμματεύς","grammateús","gram-mat-yooce'","from γράμμα. a writer, i.e. (professionally) scribe or secretary:--scribe, town-clerk.","Noun Masculine","greek"
"G1123","γραπτός","graptós","grap-tos'","from γράφω; inscribed (figuratively):--written.","Adjective","greek"
"G1124","γραφή","graphḗ","graf-ay'","from γράφω; a document, i.e. holy Writ (or its contents or a statement in it):--scripture.","Noun Feminine","greek"
"G1125","γράφω","gráphō","graf'-o","a primary verb; to ""grave"", especially to write; figuratively, to describe:--describe, write(-ing, -ten).","Verb","greek"
"G1126","γραώδης","graṓdēs","grah-o'-dace","from  (an old woman) and εἶδος; crone-like, i.e. silly:--old wives'.","Adjective","greek"
"G1127","γρηγορεύω","grēgoreúō","gray-gor-yoo'-o","from ἐγείρω; to keep awake, i.e. watch (literally or figuratively):--be vigilant, wake, (be) watch(-ful).","Verb","greek"
"G1128","γυμνάζω","gymnázō","goom-nad'-zo","from γυμνός; to practise naked (in the games), i.e. train (figuratively):--exercise.","Verb","greek"
"G1129","γυμνασία","gymnasía","goom-nas-ee'-ah","from γυμνάζω; training, i.e. (figuratively) asceticism:--exercise.","Noun Feminine","greek"
"G113","ἄθεσμος","áthesmos","ath'-es-mos","from Α (as a negative particle) and a derivative of τίθημι (in the sense of enacting); lawless, i.e. (by implication) criminal:--wicked.","Adjective","greek"
"G1130","γυμνητεύω","gymnēteúō","goom-nayt-yoo'-o","from a derivative of γυμνός; to strip, i.e. (reflexively) go poorly clad:--be naked.","Verb","greek"
"G1131","γυμνός","gymnós","goom-nos'","of uncertain affinity; nude (absolute or relative, literal or figurative):--naked.","Adjective","greek"
"G1132","γυμνότης","gymnótēs","goom-not'-ace","from γυμνός; nudity (absolute or comparative):--nakedness.","Noun Feminine","greek"
"G1133","γυναικάριον","gynaikárion","goo-nahee-kar'-ee-on","a diminutive from γυνή; a little (i.e. foolish) woman:--silly woman.","Noun Neuter","greek"
"G1134","γυναικεῖος","gynaikeîos","goo-nahee-ki'-os","from γυνή; feminine:--wife.","Adjective","greek"
"G1135","γυνή","gynḗ","goo-nay'","probably from the base of γίνομαι; a woman; specially, a wife:--wife, woman.","Noun Feminine","greek"
"G1136","Γώγ","Gṓg","gogue","of Hebrew origin (גּוֹג); Gog, a symbolic name for some future Antichrist:--Gog.","Noun Location","greek"
"G1137","γωνία","gōnía","go-nee'-ah","probably akin to γόνυ; an angle:--corner, quarter.","Noun Feminine","greek"
"G1138","Δαβίδ","Dabíd","dab-eed'","of Hebrew origin (דָּוִד); Dabid (i.e. David), the Israelite king:--David.","Noun Masculine","greek"
"G1139","δαιμονίζομαι","daimonízomai","dahee-mon-id'-zom-ahee","middle voice from δαίμων; to be exercised by a dæmon:--have a (be vexed with, be possessed with) devil(-s).","Verb","greek"
"G114","ἀθετέω","athetéō","ath-et-eh'-o","from a compound of Α (as a negative particle) and a derivative of τίθημι; to set aside, i.e. (by implication) to disesteem, neutralize or violate:--cast off, despise, disannul, frustrate, bring to nought, reject.","Verb","greek"
"G1140","δαιμόνιον","daimónion","dahee-mon'-ee-on","neuter of a derivative of δαίμων; a dæmonic being; by extension a deity:--devil, god.","Noun Neuter","greek"
"G1141","δαιμονιώδης","daimoniṓdēs","dahee-mon-ee-o'-dace","from δαιμόνιον and δαίμων; dæmon-like:--devilish.","Adjective","greek"
"G1142","δαίμων","daímōn","dah'-ee-mown","from  (to distribute fortunes); a dæmon or supernatural spirit (of a bad nature):--devil.","Noun","greek"
"G1143","δάκνω","dáknō","dak'-no","a prolonged form of a primary root; to bite, i.e. (figuratively) thwart:--bite.","Verb","greek"
"G1144","δάκρυ","dákry","dak'-roo-on","of uncertain affinity; a tear:--tear.","Noun Neuter","greek"
"G1145","δακρύω","dakrýō","dak-roo'-o","from δάκρυ; to shed tears:--weep. Compare κλαίω.","Verb","greek"
"G1146","δακτύλιος","daktýlios","dak-too'-lee-os","from δάκτυλος; a finger-ring:--ring.","Noun Masculine","greek"
"G1147","δάκτυλος","dáktylos","dak'-too-los","probably from δέκα; a finger:--finger.","Noun Masculine","greek"
"G1148","Δαλμανουθά","Dalmanouthá","dal-man-oo-thah'","probably of Chaldee origin; Dalmanutha, a place in Palestine:--Dalmanutha.","Noun Location","greek"
"G1149","Δαλματία","Dalmatía","dal-mat-ee'-ah","probably of foreign derivation; Dalmatia, a region of Europe:--Dalmatia.","Noun Location","greek"
"G115","ἀθέτησις","athétēsis","ath-et'-ay-sis","from ἀθετέω; cancellation (literally or figuratively):--disaning, put away.","Noun Feminine","greek"
"G1150","δαμάζω","damázō","dam-ad'-zo","a variation of an obsolete primary of the same meaning; to tame:--tame.","Verb","greek"
"G1151","δάμαλις","dámalis","dam'-al-is","probably from the base of δαμάζω; a heifer (as tame):--heifer.","Noun Feminine","greek"
"G1152","Δάμαρις","Dámaris","dam'-ar-is","probably from the base of δαμάζω; perhaps gentle; Damaris, an Athenian woman:--Damaris.","Noun Feminine","greek"
"G1153","Δαμασκηνός","Damaskēnós","dam-as-kay-nos'","from Δαμασκός; a Damascene or inhabitant of Damascus:--Damascene.","Adjective","greek"
"G1154","Δαμασκός","Damaskós","dam-as-kos'","of Hebrew origin (דַּמֶּשֶׂק); Damascus, a city of Syria:--Damascus.","Noun Location","greek"
"G1155","δανείζω","daneízō","dan-ide'-zo","from δάνειον; to loan on interest; reflexively, to borrow:--borrow, lend.","Verb","greek"
"G1156","δάνειον","dáneion","dan'-i-on","from  (a gift); probably akin to the base of δίδωμι; a loan:--debt.","Noun Neuter","greek"
"G1157","δανειστής","daneistḗs","dan-ice-tace'","from δανείζω; a lender:--creditor.","Noun Masculine","greek"
"G1158","Δανιήλ","Daniḗl","dan-ee-ale'","of Hebrew origin (דָנִיֵּאל); Daniel, an Israelite:--Daniel.","Noun Masculine","greek"
"G1159","δαπανάω","dapanáō","dap-an-ah'-o","from δαπάνη; to expend, i.e. (in a good sense) to incur cost, or (in a bad one) to waste:--be at charges, consume, spend.","Verb","greek"
"G116","Ἀθῆναι","Athēnai","ath-ay-nahee","plural of  (the goddess of wisdom, who was reputed to have founded the city); Athenæ, the capitol of Greece:-- Athens.","Noun Location","greek"
"G1160","δαπάνη","dapánē","dap-an'-ay","from  (to devour); expense (as consuming):--cost.","Noun Feminine","greek"
"G1161","δέ","dé","deh","a primary particle (adversative or continuative); but, and, etc.:--also, and, but, moreover, now (often unexpressed in English).","Conjunction","greek"
"G1162","δέησις","déēsis","deh'-ay-sis","from δέομαι; a petition:--prayer, request, supplication.","Noun Feminine","greek"
